id,Acer_Capillipes,Acer_Circinatum,Acer_Mono,Acer_Opalus,Acer_Palmatum,Acer_Pictum,Acer_Platanoids,Acer_Rubrum,Acer_Rufinerve,Acer_Saccharinum,Alnus_Cordata,Alnus_Maximowiczii,Alnus_Rubra,Alnus_Sieboldiana,Alnus_Viridis,Arundinaria_Simonii,Betula_Austrosinensis,Betula_Pendula,Callicarpa_Bodinieri,Castanea_Sativa,Celtis_Koraiensis,Cercis_Siliquastrum,Cornus_Chinensis,Cornus_Controversa,Cornus_Macrophylla,Cotinus_Coggygria,Crataegus_Monogyna,Cytisus_Battandieri,Eucalyptus_Glaucescens,Eucalyptus_Neglecta,Eucalyptus_Urnigera,Fagus_Sylvatica,Ginkgo_Biloba,Ilex_Aquifolium,Ilex_Cornuta,Liquidambar_Styraciflua,Liriodendron_Tulipifera,Lithocarpus_Cleistocarpus,Lithocarpus_Edulis,Magnolia_Heptapeta,Magnolia_Salicifolia,Morus_Nigra,Olea_Europaea,Phildelphus,Populus_Adenopoda,Populus_Grandidentata,Populus_Nigra,Prunus_Avium,Prunus_X_Shmittii,Pterocarya_Stenoptera,Quercus_Afares,Quercus_Agrifolia,Quercus_Alnifolia,Quercus_Brantii,Quercus_Canariensis,Quercus_Castaneifolia,Quercus_Cerris,Quercus_Chrysolepis,Quercus_Coccifera,Quercus_Coccinea,Quercus_Crassifolia,Quercus_Crassipes,Quercus_Dolicholepis,Quercus_Ellipsoidalis,Quercus_Greggii,Quercus_Hartwissiana,Quercus_Ilex,Quercus_Imbricaria,Quercus_Infectoria_sub,Quercus_Kewensis,Quercus_Nigra,Quercus_Palustris,Quercus_Phellos,Quercus_Phillyraeoides,Quercus_Pontica,Quercus_Pubescens,Quercus_Pyrenaica,Quercus_Rhysophylla,Quercus_Rubra,Quercus_Semecarpifolia,Quercus_Shumardii,Quercus_Suber,Quercus_Texana,Quercus_Trojana,Quercus_Variabilis,Quercus_Vulcanica,Quercus_x_Hispanica,Quercus_x_Turneri,Rhododendron_x_Russellianum,Salix_Fragilis,Salix_Intergra,Sorbus_Aria,Tilia_Oliveri,Tilia_Platyphyllos,Tilia_Tomentosa,Ulmus_Bergmanniana,Viburnum_Tinus,Viburnum_x_Rhytidophylloides,Zelkova_Serrata
4,2.223455158873183e-09,1.1604852414120082e-08,9.809367336458954e-12,6.717245464172752e-07,2.1845666320438012e-08,2.0709478145929292e-08,6.5484183464391045e-12,1.705835899597719e-10,2.739455288392297e-10,4.05689783548154e-07,5.683822140249792e-07,7.637344465578164e-12,3.1737335572896424e-11,6.495193419812258e-09,6.74612913065876e-08,8.101783196588048e-09,1.4957504655574705e-05,1.4744655001394814e-12,2.3119792282925834e-08,2.2433134951089057e-10,4.795274435132254e-07,1.8129131632484685e-08,6.921161077672614e-07,5.869515807280851e-11,4.994502451698853e-11,3.134513098821347e-10,4.769012992675438e-05,6.615918920941476e-07,2.9265220207226703e-09,6.494214288324457e-10,1.035637068339046e-15,2.9213594313359013e-05,6.010971851795627e-06,4.745389840352651e-06,1.7171044950493882e-10,4.0494617973986914e-07,3.5404133782924514e-09,6.592109335585083e-17,2.5430409355073735e-08,1.8536949291315135e-10,1.1843122467240355e-15,4.7102902296115555e-07,1.3339711120606723e-08,3.106228661794966e-11,5.565814503399768e-07,5.811070032344095e-10,0.0001257722993492242,1.0921736551846074e-14,2.282347592106084e-12,4.32440341482099e-08,1.3418947223439805e-07,0.9992480108791155,7.898549485824777e-11,1.3237659418657786e-06,1.8049254159929934e-07,1.5986196408153222e-05,2.1375087679135102e-05,2.198172923859779e-13,6.053793574376009e-13,3.2262313537066186e-09,8.499315335891195e-09,6.547193541863843e-09,7.72218507706616e-09,5.623506649436885e-09,8.608741653498843e-05,3.677284848822817e-08,1.8151241468812238e-07,7.266483547863716e-15,1.0344597951648679e-10,1.2934872748997267e-08,1.1497611923347591e-11,1.5496631143104736e-11,1.5751136930113381e-06,7.736679644812395e-13,4.170332903338234e-05,1.9343597415994527e-05,6.366908216694984e-14,6.899647391189078e-08,9.278290194292653e-05,2.4243884274710073e-09,2.9181263469953067e-07,1.0417830656336545e-13,1.947987438022356e-15,0.0001680536185515582,3.8927016360467955e-05,5.85423916986018e-13,1.4538624586407852e-13,2.111063579685812e-14,2.703065415928224e-05,4.36579790086313e-13,1.2987097670707748e-08,3.245897410689093e-09,2.5709565870577473e-10,1.3135722013677261e-08,1.212307603021838e-11,7.401160677120609e-12,7.188868959564172e-13,3.2571995496636637e-06,1.9165249475949354e-10
7,9.099958001983834e-09,2.411627775182361e-08,4.1239233503982077e-07,4.530104207417863e-06,9.794150861252016e-09,4.3441176881836686e-08,2.128962573438386e-05,6.123268152068266e-09,1.950150603522148e-08,3.677038529855286e-08,8.058405737746335e-11,5.801343970946717e-10,7.509295394950279e-10,2.8785440665836572e-09,7.277624266150045e-09,1.126895922125453e-08,1.8673717418621716e-09,8.701038471429068e-07,2.402029721411092e-09,5.009814372388818e-06,2.7262948368772953e-08,6.586147590206954e-10,1.214396634895826e-08,1.038757487441489e-09,5.532951836254815e-09,3.2714479739178824e-09,2.2875776207152365e-07,5.787515946940717e-07,8.756232329868564e-09,5.3448469475555745e-11,4.440281344585633e-08,4.9850318641251946e-08,4.2533982606228035e-08,1.6498444127104928e-09,3.205698272396986e-07,3.039582485824459e-10,2.0787804641812624e-05,5.5998307962577575e-09,3.4279478277495997e-07,3.306871280361485e-06,2.392059978239053e-07,3.678379350421661e-07,5.41371644029495e-07,2.717533203776651e-07,6.316087144317563e-09,2.521391896403639e-06,2.4136354148498028e-11,1.8934003350406834e-05,1.748182899801216e-08,3.1363478576098564e-10,0.9998170797114003,5.838829167668367e-09,1.4048359309931124e-08,5.186862121332153e-08,1.3349040922236707e-07,4.4536381459440355e-07,6.393315562515102e-10,1.804501133225411e-07,2.221948180590911e-06,1.1785456851492324e-06,4.2531098543462035e-07,1.0733089167089593e-07,2.73532137992971e-09,1.3484683262362582e-06,1.4968227615667814e-11,6.297562361188098e-09,1.206987569962397e-09,2.8937633921853696e-08,1.6099006843504043e-07,6.672898228011151e-05,1.8644358047677526e-11,3.756551154321956e-10,3.068316824413207e-09,1.831007396507874e-08,4.265878378650853e-13,6.567535463276007e-10,8.858243897653849e-06,2.3925170924031808e-08,3.939061047427488e-08,1.1959530653000242e-07,9.788598119125119e-09,8.240144484230036e-08,1.2776320509400766e-06,1.8511605813205967e-06,2.084574286722027e-06,5.725626632030191e-07,2.4271811924092206e-07,2.3254972837613683e-06,6.723640130846584e-12,1.0705101280574971e-07,1.6979414586380781e-07,5.871629489633429e-10,1.317266372942038e-10,6.155962868488528e-13,5.1483085580163395e-06,4.027104118299377e-08,5.863299323821725e-06,1.250969060179195e-09,8.089683355467734e-08
9,1.202323152599668e-06,0.9937414267421978,7.479584384258388e-07,4.979955734050742e-07,0.0043963862721456155,1.3889184013014457e-05,3.9845207593660883e-07,5.187400050734839e-05,0.00018425554584482906,0.00010100869033275704,2.4131388465676377e-07,0.00017047692267094382,2.818795039304201e-07,1.2813662014042552e-06,1.2991558634260817e-05,1.3939529200774436e-05,0.0007278877703387702,3.1657989175857742e-09,9.848882256922347e-08,1.7368904939715238e-05,3.0374977394426235e-07,1.0718861495593961e-06,1.8669030135292598e-09,3.339431350096724e-09,8.501662143065719e-10,3.679094197072867e-05,5.6694136784086454e-05,2.2357918235049128e-09,3.512671384918175e-08,2.2711130467262674e-08,2.9997284654330274e-09,2.766932519817626e-07,2.7610196634636354e-05,1.3358071434198146e-05,8.791896566518125e-10,2.1666449873614773e-05,1.2030294522697314e-08,3.4727264445297484e-10,9.566802926549568e-09,5.325937735310689e-06,5.65444924482971e-10,2.7602513313320593e-07,5.648523980393307e-08,3.4155581425277727e-09,1.1736647239048691e-06,6.512323782117446e-09,1.0202088420432545e-08,7.162247760152549e-08,5.347611536492268e-06,2.868554149066062e-06,2.446109105202426e-07,3.1727516828391794e-09,6.547790363819293e-08,1.6554982681065497e-06,6.991322843500897e-07,9.19845048736432e-08,1.7201091837328514e-05,5.804102464932473e-09,2.7419275275219167e-10,4.4468438141703224e-08,2.6074752994530863e-06,3.003970372993561e-09,6.390544604199655e-07,1.0605460622724999e-06,9.981561993480203e-08,2.306985075080907e-07,4.2557547524017924e-07,7.136070128584966e-10,7.131601792467937e-10,1.5368860767817773e-06,1.6369462305127646e-08,1.3387029280290626e-07,3.142702109792933e-07,1.731404754923786e-05,5.572944227597308e-07,5.346755587320118e-07,5.207451253002114e-10,4.193480824242843e-07,2.5891389356055237e-06,1.7533957687480811e-07,3.121277960805447e-07,4.080982007193425e-11,3.153825110133365e-11,4.4107707803383665e-07,2.4441906347594768e-06,4.0051963531912236e-05,2.003541660907708e-08,6.391525998908205e-08,3.845203826863834e-08,1.4565193347802317e-06,5.7277566602058776e-08,3.89284221449472e-07,1.875614317417068e-07,3.4827640804212186e-08,8.601333287993256e-08,1.7270757067504012e-06,2.3360645251456186e-09,8.081804468226633e-08,0.00029467284029610467
12,6.968607952202066e-08,0.0033882443759330246,7.926182943431986e-07,1.9373786457883703e-07,1.391692529956933e-06,3.13587255766968e-08,4.772626730697772e-05,1.529937672503192e-06,4.253216480452495e-05,7.18049328591205e-05,4.05072186915747e-09,3.179253006615376e-05,6.7251561842313e-05,0.001151216971999222,1.2466027507469505e-05,3.5626572821494272e-06,6.459434979548484e-08,4.2723383013966494e-05,1.4171256885144557e-08,0.9885056487300056,1.5182971372489043e-06,1.4649861964723125e-09,3.283104437753271e-07,7.946343469332728e-10,1.2181506973318586e-08,2.511592945758692e-08,4.451873974325069e-05,1.516223957935369e-07,3.1738865046636837e-10,1.795586326654095e-10,3.009881935716632e-09,1.0451234869399076e-08,1.1899433652761951e-06,1.1037442095630001e-07,4.3717837866146385e-09,2.6324979584860615e-08,9.050012850466547e-06,7.040796202740043e-08,1.1268457888249979e-07,8.971203284626606e-08,8.230895451604012e-09,0.00015715139587475693,3.058629362368536e-08,5.4782962764953624e-08,1.0630912652839617e-07,1.4723156464463872e-07,4.19456219258166e-10,0.0024486342373780663,1.888933349550226e-05,6.22028872230713e-09,5.221324322223178e-06,2.597618670669581e-10,2.599922900475232e-07,9.182637948926933e-08,2.8790925694790704e-07,5.350429368144756e-08,4.5596569923584135e-10,3.2006507191959667e-07,6.492249468685541e-06,1.0673498973365533e-06,1.5118568810409973e-06,3.5129126478470847e-09,1.2708109636122115e-06,1.6049328638186683e-05,1.2467224321378375e-10,3.253700319514793e-07,3.1055063150836536e-08,2.161116605515549e-07,1.7448302739817627e-08,5.7276446984558955e-09,8.861284539799039e-10,1.6734951405943903e-08,2.644508198813045e-09,1.0848713003214073e-06,3.4857681357117053e-10,3.6435024972769346e-08,2.4300853105021534e-08,1.5830261998612495e-06,7.918323056366506e-07,1.1622762596117692e-06,6.469428922619775e-06,1.2202485559818745e-08,2.1304612053888817e-06,1.788056006233689e-07,4.333375948076356e-07,0.00015891198762217778,6.464172891728159e-07,2.6687517449664097e-07,1.57280920085137e-10,3.457442759746667e-06,9.647596851957055e-08,6.031516144108347e-07,3.294848805621964e-08,5.180275853198489e-09,5.379830953202938e-06,0.0034355815336284926,2.2698009628212049e-07,2.5360372735657716e-08,0.000296297268813729
13,5.057186368943157e-07,8.28532425057694e-07,3.29603406587407e-09,8.120928768752152e-10,2.771332647766498e-07,2.6750289450697456e-09,4.994993577739384e-07,1.2649175440626813e-07,4.1035912016858176e-05,1.5408540489595421e-06,4.5637697615724383e-08,0.0002959021493013124,9.050794450580909e-07,8.32919452498528e-06,0.9994866941539269,1.8736163742812043e-07,5.813759353262575e-05,9.093759556925519e-09,9.999859255300662e-08,1.7779101196624933e-08,2.2696025423967858e-06,3.2028340958405047e-10,3.9013637613609893e-07,1.5485504488319222e-10,6.717463357991126e-09,8.582661173773972e-09,3.942163367176392e-06,1.1640083457013058e-09,4.244907355391544e-10,5.781130639267527e-11,1.381467120392469e-10,2.309547512959699e-10,5.1175946380264305e-09,6.975103590021114e-08,1.3075775096670374e-11,4.796426499745795e-07,4.72000649082577e-09,2.5629219110219357e-12,1.938513599784793e-08,4.372695276880271e-11,6.766756802018145e-12,2.9285732316215265e-08,1.2453332971105664e-09,1.877299719908712e-08,1.5012718447916092e-09,9.596267185867698e-12,6.145556378717562e-10,4.72741857682537e-08,2.0591390818613623e-05,1.555089519209079e-05,5.914427063965235e-10,1.68722013138991e-10,6.572394904390417e-08,1.7386762463426414e-07,6.774194883401438e-08,6.222889490992111e-10,1.1921849779722486e-09,3.711579311674593e-10,1.4717320346081538e-10,1.9719972214879853e-08,2.3346337493365988e-08,1.5300919662232725e-09,9.206342610424783e-09,3.4445900920993045e-07,4.795053659759681e-10,6.308325098498275e-10,7.605443978526593e-09,6.501526069668137e-11,1.6279427934751425e-10,1.541852803351552e-09,1.1924393561663626e-08,1.568658876811358e-07,7.459719707788141e-10,4.01919934517412e-09,7.855264700202648e-08,1.1780150826592689e-08,8.65013076674776e-11,2.785022829442489e-07,2.9914665064533916e-07,3.6324402208999105e-07,1.713633083255577e-07,4.481097884870698e-12,1.438208129206249e-10,1.673501926303664e-07,1.2016518335017577e-08,3.522712628686494e-09,4.804425130348343e-09,5.6651365955234374e-11,1.5157377569852508e-09,5.126185135119808e-07,2.787143828581946e-09,3.887894892790463e-06,1.017378361380564e-08,4.183958022612374e-06,1.6405631512432624e-06,4.8657447316022336e-05,3.2588746822204724e-08,1.0303726777229294e-07,9.578053821642496e-08
16,0.00012255446325963061,1.1060308636187856e-05,6.603485672168877e-05,0.9443150480486168,7.676771263210382e-06,2.7833221384189346e-06,0.00013618074590673824,0.00011217020920919103,1.6699461277931464e-05,2.090268962049045e-06,2.2547867800712108e-05,3.0567245410020916e-06,0.00014391604227537017,1.1444537522263519e-05,4.6398796277254635e-05,1.980265475940725e-05,5.676494270765611e-06,0.00016241777031913561,6.0060047419039626e-05,0.0007234236561248045,7.076407501532619e-05,5.542312173937293e-06,1.1700504829322734e-05,4.7049171097548055e-07,9.601308999044873e-05,4.419475250928517e-05,0.0005869372003576034,5.337226338627109e-05,1.0421441049867923e-05,2.0088078274829395e-08,7.995154297428775e-05,4.161900137130917e-05,0.00016746386468242103,5.8175806560739715e-06,4.072236051824461e-05,5.633758783939568e-06,0.00034305978165309115,1.5690786808254079e-06,1.563077918457262e-05,3.950942536010396e-05,2.8546460461848745e-05,0.0004178296267618836,0.00028024980451309226,0.008323949913105462,4.476336191879652e-05,0.0004014578309288389,6.211979708012393e-07,1.5232924071646763e-05,2.2619641371407014e-06,2.850229185742383e-05,0.00035821716288175233,2.2340633597836203e-06,0.0045653958829275166,1.0087757574222403e-05,2.308945399372863e-06,2.053439507122628e-05,2.8198536424427357e-07,0.00011108533891441934,0.0014749035678742512,8.359902916544992e-05,0.0002515390010024152,2.5915533269057363e-06,0.000275624173940467,6.600092444627655e-05,2.8190720551778164e-08,6.473640983902235e-05,3.022842288865415e-06,0.00017529028578645975,0.0003000952159233991,0.00024955394316293053,6.406713814533597e-07,1.7312283066608903e-05,2.781022660092337e-06,0.0001418728457074478,3.911147398414744e-09,1.316908715069858e-05,5.5250320994644854e-05,5.307242828739068e-05,4.330463053406417e-07,0.00033412736088298396,1.3888593607918003e-07,0.0004970458747868325,6.9106817177254645e-06,0.001070302468387381,1.5240290126275768e-05,0.0010242394216959784,0.02891583029126127,2.2594560828992273e-05,9.820161762493014e-08,0.0004191464242642441,0.00036079404687857806,4.315156982077181e-05,9.049883970068326e-06,1.8816774624210066e-06,0.0011909440135272659,6.202226138462764e-05,0.00023632279827240398,0.0001265379503837226,0.0002070832351293887
19,4.3378694220189185e-05,6.9935914190980565e-06,2.6892460671116264e-05,0.995806522266333,8.794947932167147e-07,6.960337994892419e-07,1.925534543760065e-05,1.6557236730623995e-06,1.3144579389399764e-06,5.266218986341678e-07,1.06136798130677e-05,1.6207302930865557e-07,0.00010347390800867963,5.601528463993292e-07,2.0555981538142378e-06,2.916966846184001e-06,2.493555391221173e-06,2.1000213596609723e-06,4.734027892806662e-06,6.516884101581761e-05,3.149360202463107e-05,1.180769022222168e-06,3.9984304200724974e-07,2.768832483000907e-07,6.328337545076131e-06,1.547426007363486e-05,6.4742107558820035e-06,1.1295454859731598e-06,4.4716422231558e-06,2.5288505514121077e-08,1.3701441744554838e-05,3.381486014736393e-05,6.79707595056237e-05,3.683569687550182e-07,2.0774069711282804e-06,5.74599292433702e-07,3.778048182851413e-05,4.797536684994326e-07,1.1218861846241485e-05,4.08777354151192e-05,1.8237941412021752e-07,5.125516628387061e-05,1.0988401410379471e-05,0.00017352860426553498,7.268838950922378e-06,5.404145725832015e-05,2.431118467314884e-07,1.5700536743121514e-06,4.502077351845561e-07,9.677897419976246e-07,0.0007550000906577335,1.8925602108897744e-06,2.8772307329667467e-05,5.021861598808347e-06,4.755520411536398e-07,5.670742790819577e-06,4.3299816024658254e-07,2.4503652011573768e-06,8.223201687906608e-05,1.0790141568606594e-05,0.00030239378658751325,4.626616977536039e-07,5.794441764396738e-06,5.502033736821872e-06,9.610921744457515e-08,0.00012338647962505337,2.4434459562534073e-07,3.4330436558485975e-06,0.00013370157583972975,7.48240274314453e-05,5.598835997375863e-08,6.367732855812227e-07,2.2986713900781595e-07,1.5368804576864596e-06,8.254415617861699e-10,8.039054449080068e-07,2.8369586444815783e-05,6.333459610936643e-06,2.988180384053516e-08,4.3419089828928515e-05,4.1434904694405984e-08,7.049301268262674e-05,7.424238191727875e-07,4.227701802303207e-06,2.1355184282318454e-05,0.00016719858883667483,8.683806503556015e-05,3.949156923700092e-05,1.5976401812202863e-09,1.1149591752033245e-05,8.452324929904998e-05,7.599339603182195e-06,1.3250643011999345e-06,7.878007843025311e-08,0.0007832821333159419,1.4649761897734106e-06,2.0718640031703855e-05,2.942031315969119e-06,0.00039352505302768433
23,2.6452167908468407e-08,1.0418927528698824e-05,1.8114448602963397e-05,5.8165683622514055e-05,1.8888581394511356e-06,0.0007164849175938634,3.39142534789038e-05,3.503614124639583e-07,1.1363660898582869e-08,7.365727814136469e-07,5.170106683080158e-09,7.886293309867518e-07,5.251611651898215e-07,8.806655591733475e-08,9.623271409453186e-08,0.0014622659205357055,1.0142724132425442e-08,7.311682625122109e-08,8.07558043006091e-06,2.2849739615787632e-06,5.382624726424898e-05,8.172261397047637e-07,2.0435133316876427e-06,1.0434923717549027e-05,1.4908557371817671e-05,2.8088908851547705e-06,1.0856703071905928e-06,7.415192335410423e-07,0.9922550889989062,0.004179549089169146,0.00033201370394870394,2.3456530071180108e-08,1.6707146930187103e-06,5.324742508068861e-07,8.949037717845381e-07,5.389203248411069e-06,7.60364007865556e-07,9.21185119128964e-06,3.266843543457263e-07,1.8039399019073853e-05,2.0169238192441475e-08,4.758055287940485e-10,0.00019380166377119506,5.315976933605862e-07,1.6867809547630518e-07,3.605194620471312e-08,5.843617280046362e-09,7.420953417255797e-09,1.0636666630232408e-08,1.2753536441807363e-07,7.90242191617935e-07,1.7610822438545813e-06,1.0879971530654107e-07,1.531294954612373e-07,1.952158718406583e-06,0.00037593237166772756,4.5995095145722065e-06,7.452348464171092e-07,3.218492791667163e-09,1.4642867350064377e-07,2.8018505248292528e-06,6.076943407101505e-06,1.6680068144730238e-06,7.141959349785237e-07,6.855867524985085e-09,3.7507366599617712e-06,1.4481320356491894e-05,8.654625995157628e-07,2.271126345792638e-07,3.2819535883129035e-05,3.7916070043165984e-05,2.4733932975758706e-06,1.7131364796671761e-06,6.784194125813678e-06,1.2182846000646118e-10,3.39639679960574e-09,5.410562252648975e-06,7.867957838679838e-07,3.0963261002102744e-08,1.3121288859799783e-05,1.9970822958125193e-05,4.1052477767023595e-06,9.140065540068659e-09,3.9299605190048765e-10,4.637275683440263e-06,4.8967598715862077e-08,8.986140299849892e-08,3.145474545481952e-05,3.213327703795784e-08,1.5794645628386797e-07,1.1011563306442172e-06,3.7432628125954826e-07,2.624467425517497e-07,1.2232665719677495e-07,4.41634291738128e-09,3.3478984949996038e-09,1.3029537109119392e-06,2.7043009903670618e-08,1.9249032952239056e-05
24,6.296439161031075e-06,4.930615103316444e-07,7.616025969003883e-08,1.8101274815446896e-08,6.648555951328987e-08,6.0190101024166164e-06,4.658849241460697e-08,3.222385781621275e-09,2.0117900982351755e-05,7.375005545167862e-08,2.2424365034904974e-07,1.1282242880135513e-10,2.102233109936903e-09,3.3578711721181144e-09,2.71850687687186e-09,8.657050548425929e-08,1.785237174744249e-06,7.530391097393636e-09,5.561880291112992e-10,7.495450218858599e-08,7.879442260302584e-07,9.892387457364581e-09,9.910554268944334e-12,2.8675374888382463e-09,2.1686990837506886e-11,1.2265410984980484e-08,2.31186771843314e-06,2.410100146635717e-08,2.08892208391577e-11,2.1272903028489736e-10,5.143681143261865e-12,9.73722132552983e-06,1.937240185370609e-06,3.761534276449175e-07,4.0209476996879745e-08,3.891255990859248e-09,2.474566377768214e-07,6.061154075226797e-09,8.009279492112515e-08,1.5869282797717555e-05,1.8198160368031857e-10,4.200266719959545e-08,4.057001745175718e-08,1.8973263174148276e-09,4.268641327207592e-08,2.6129416730074207e-07,7.164444385325593e-11,8.493290865776063e-10,1.0065744510070693e-11,9.458226299926446e-09,5.177909923782226e-09,7.889166863266996e-07,6.428557665904472e-11,7.990631248376966e-12,2.67788406179778e-08,2.679236454713215e-08,2.2588620217107793e-10,5.385597233299123e-10,9.950261585586718e-08,5.00075454386999e-06,7.01468577275338e-08,2.885298843729334e-09,9.344734673799994e-10,8.928299643569039e-09,1.5468529250768341e-09,1.3433085662115175e-08,3.1591952021704493e-09,6.2475975321727944e-12,1.0742531582524165e-08,3.225898886263566e-06,3.87015470421654e-10,1.5425244832354208e-10,9.952330020755673e-07,4.139988192190404e-11,1.0312841776581556e-08,5.186256581462978e-09,1.4257737615706286e-09,1.1567855510789506e-07,4.7205605688409354e-07,1.0511586248954551e-07,3.717685517546887e-09,3.2215515139393153e-10,2.762129697117223e-09,2.194764485120479e-07,0.9999212483640679,2.0310736533455155e-09,2.718630944247195e-11,2.1012272886359232e-09,2.3412655697504866e-10,4.381224131444295e-08,3.421441933294537e-09,1.4432283942811602e-09,2.628603163104111e-09,4.412607641398707e-11,2.2741141127351266e-07,3.0592901932626687e-09,4.6901357254673196e-11,2.0991386431233277e-09,1.0219225720108575e-09
28,6.086770309100984e-05,2.263705744296005e-05,4.55474741267097e-07,2.5541013547851986e-06,1.9192625508834895e-06,2.631192034757744e-07,7.542324630157494e-06,7.819934196623948e-05,0.9994796282804537,1.0827316886942104e-06,1.3357666540258635e-05,1.4537449140453787e-05,3.405564609039436e-05,1.3208929682401555e-06,2.4694327121637257e-05,2.650110865090685e-06,1.2455656367428098e-05,3.954095270797617e-06,2.589234246309343e-07,7.387727770538051e-06,1.6383258640381947e-06,5.112745985452005e-09,1.3666674093285083e-08,1.353670342244393e-09,3.6994815030784467e-09,3.676731916959909e-08,1.4382954627736226e-06,5.785866219149495e-09,2.9119579031518717e-09,2.0118923669544572e-10,2.148113561485982e-09,7.05914146680373e-08,6.343896082633975e-06,1.1085217388572948e-05,3.888907628056422e-09,1.1422645157793152e-06,2.1129915803134288e-08,1.0110264681475923e-09,7.502362431977226e-09,9.133848443484035e-08,5.552532571678971e-10,6.405156083048715e-07,4.0441877970360444e-08,5.596981787398258e-09,9.283767392478403e-07,4.3576949956377305e-08,7.663490180450977e-09,6.590858551954178e-08,1.755676831695516e-06,8.459477250634818e-07,2.7592710020125206e-08,5.894514941905166e-10,1.8303099301189385e-07,4.058198444223176e-07,7.195986084797016e-07,4.5098373291472514e-07,1.7900991102659212e-08,2.719044005742839e-09,2.335692064496327e-08,1.7816372666627328e-07,3.759392402221345e-07,5.720638392623644e-09,1.306912590531996e-07,9.466144557871508e-08,2.8514537568466713e-08,4.1944653542335733e-07,1.9032863909087473e-08,7.276745782259731e-10,6.197548769021739e-08,4.615871943537397e-07,8.372194624388004e-09,2.7205802809672774e-08,2.4321135596760645e-08,1.312099325153994e-07,8.214714247706897e-08,1.5933028369533414e-07,1.2609054441270306e-09,7.533863734742543e-08,1.167604228497062e-06,1.3466779372131972e-07,1.840736076049202e-07,2.4332632171218943e-09,1.047426541438402e-08,1.7411577237701507e-06,1.3832869432239844e-05,9.212188520629702e-07,9.573532438033799e-07,1.4242885327141062e-08,1.050440519308945e-09,7.476914273966301e-06,2.1407997233043814e-07,4.983789471703378e-06,3.6279765181491134e-07,3.20242543171319e-06,0.00016001480890559717,3.8077904886086165e-06,1.4153050733420164e-10,1.0875041876524816e-08,7.707313920245867e-07
