id,Acer_Capillipes,Acer_Circinatum,Acer_Mono,Acer_Opalus,Acer_Palmatum,Acer_Pictum,Acer_Platanoids,Acer_Rubrum,Acer_Rufinerve,Acer_Saccharinum,Alnus_Cordata,Alnus_Maximowiczii,Alnus_Rubra,Alnus_Sieboldiana,Alnus_Viridis,Arundinaria_Simonii,Betula_Austrosinensis,Betula_Pendula,Callicarpa_Bodinieri,Castanea_Sativa,Celtis_Koraiensis,Cercis_Siliquastrum,Cornus_Chinensis,Cornus_Controversa,Cornus_Macrophylla,Cotinus_Coggygria,Crataegus_Monogyna,Cytisus_Battandieri,Eucalyptus_Glaucescens,Eucalyptus_Neglecta,Eucalyptus_Urnigera,Fagus_Sylvatica,Ginkgo_Biloba,Ilex_Aquifolium,Ilex_Cornuta,Liquidambar_Styraciflua,Liriodendron_Tulipifera,Lithocarpus_Cleistocarpus,Lithocarpus_Edulis,Magnolia_Heptapeta,Magnolia_Salicifolia,Morus_Nigra,Olea_Europaea,Phildelphus,Populus_Adenopoda,Populus_Grandidentata,Populus_Nigra,Prunus_Avium,Prunus_X_Shmittii,Pterocarya_Stenoptera,Quercus_Afares,Quercus_Agrifolia,Quercus_Alnifolia,Quercus_Brantii,Quercus_Canariensis,Quercus_Castaneifolia,Quercus_Cerris,Quercus_Chrysolepis,Quercus_Coccifera,Quercus_Coccinea,Quercus_Crassifolia,Quercus_Crassipes,Quercus_Dolicholepis,Quercus_Ellipsoidalis,Quercus_Greggii,Quercus_Hartwissiana,Quercus_Ilex,Quercus_Imbricaria,Quercus_Infectoria_sub,Quercus_Kewensis,Quercus_Nigra,Quercus_Palustris,Quercus_Phellos,Quercus_Phillyraeoides,Quercus_Pontica,Quercus_Pubescens,Quercus_Pyrenaica,Quercus_Rhysophylla,Quercus_Rubra,Quercus_Semecarpifolia,Quercus_Shumardii,Quercus_Suber,Quercus_Texana,Quercus_Trojana,Quercus_Variabilis,Quercus_Vulcanica,Quercus_x_Hispanica,Quercus_x_Turneri,Rhododendron_x_Russellianum,Salix_Fragilis,Salix_Intergra,Sorbus_Aria,Tilia_Oliveri,Tilia_Platyphyllos,Tilia_Tomentosa,Ulmus_Bergmanniana,Viburnum_Tinus,Viburnum_x_Rhytidophylloides,Zelkova_Serrata
4,6.92024753864728e-12,7.898859965311494e-11,1.7168081631308017e-14,1.0328083899035905e-08,2.0697770005423685e-10,1.4994011276642907e-10,7.599894533638645e-15,2.472398505126561e-13,4.334471581338676e-13,9.198993514916427e-09,9.64510470465796e-09,5.689406534820688e-15,2.0147916325203075e-14,5.159954678031418e-11,7.667825784817592e-10,6.306803825527232e-11,9.199092763304708e-07,7.146749834793848e-16,1.6838013132435912e-10,1.2190941325287128e-12,1.2982048195703098e-08,1.0987546338060272e-10,2.1363260019401052e-08,4.828934861058136e-14,4.9686926224424597e-14,5.60710463936162e-13,3.838669672008774e-06,1.1431263440627836e-08,9.956063051469035e-12,1.2968601286321988e-12,3.858317570022897e-20,1.2533144938731765e-06,2.060170801743353e-07,2.195404482811518e-07,6.079695358590056e-13,9.002593402524718e-09,2.0752374036664632e-11,1.6102080796626435e-21,3.1341200771767176e-10,2.911221659361357e-13,1.5957458506055192e-19,5.721662731666604e-09,1.034486681238358e-10,4.633356108735838e-14,9.720694145329868e-09,1.3883017837865569e-12,7.057679526195695e-06,1.731420070282477e-18,8.2067841847485315e-16,4.3601376696578506e-10,1.1229978759410814e-09,0.9999520145081825,8.250146303241129e-14,4.079851336386427e-08,2.5252859995920755e-09,6.895525418234998e-07,8.890189440412874e-07,9.65448217417043e-17,3.6952492745721247e-16,2.2378070689075925e-11,6.898107662695536e-11,3.5374905160047904e-11,8.068850474901172e-11,6.869688936633587e-11,4.790110788996953e-06,3.0247599205757806e-10,2.28107618491085e-09,7.508609875627415e-19,8.99159765840621e-14,6.87822581033175e-11,7.495190343770827e-15,6.474057677484833e-15,5.138074670644681e-08,3.6470893301262727e-16,2.609059402212952e-06,9.178386654042078e-07,1.6662041328491313e-17,8.11783883678018e-10,7.170776297682771e-06,5.3555595916568225e-12,5.094649479705934e-09,1.782994263944626e-17,2.4288509075452396e-19,1.2849391103946878e-05,2.4268825655488708e-06,2.0534921544390585e-16,2.5416690007241333e-17,4.224576747420692e-18,1.8370530844891912e-06,1.7691333584404125e-16,8.712879309659486e-11,1.6459913904772725e-11,4.552267158219478e-13,7.167307942341859e-11,6.792375182858102e-15,6.6789279865989006e-15,4.08842715931975e-16,1.0394778236039788e-07,3.7791374555997624e-13
7,6.074087339559116e-11,2.906004708028799e-10,9.61376043486909e-09,1.218082560213805e-07,9.339505040333017e-11,5.047965990058847e-10,1.3193909466176128e-06,3.168269812716812e-11,1.3618880253187754e-10,4.406567397542614e-10,1.4722714405959394e-13,2.0844411115387254e-12,1.831504988202868e-12,1.4368651832347969e-11,5.7736690119449664e-11,1.2018371160083527e-10,7.134711087488262e-12,2.2165396659008882e-08,1.3032554103740015e-11,2.2377917496333235e-07,4.4185028484309067e-10,1.846738074170269e-12,1.1515249569305344e-10,2.2753010765236174e-12,4.1333646193154724e-11,1.7707225261307464e-11,5.704850251600646e-09,1.5386557544306084e-08,4.615069193377531e-11,4.160503551539934e-14,4.3373448963869946e-10,4.454053936091292e-10,4.778173743448725e-10,9.9600568547172e-12,4.218811471616242e-09,1.235439347598405e-12,1.0245172709922488e-06,4.720876389496769e-11,5.046586435401031e-09,8.488377839717648e-08,4.010051923417707e-09,6.238189180847514e-09,1.3086110898810019e-08,4.0566693219264355e-09,4.5412205179718444e-11,7.006450955499148e-08,2.6973024888401084e-14,1.456902636464392e-06,7.087736706393507e-11,1.190775701431949e-12,0.9999909175302661,3.952949642784713e-11,7.192033376509058e-11,3.86008795778684e-10,1.8280545942708664e-09,6.214365528988033e-09,2.1416199573476643e-12,3.195747360829431e-09,6.586277317325671e-08,3.896749037794204e-08,1.1193008423705265e-08,1.3750188734588235e-09,1.9405998925641195e-11,5.36922057483521e-08,1.5533564047322623e-14,4.017886839672859e-11,4.535515652857363e-12,2.079911694083212e-10,2.048285663142886e-09,3.5387023605925277e-06,3.3003758195282034e-14,4.714774178205277e-13,2.3296796787379184e-11,1.3140213807006942e-10,4.018645614606039e-16,2.1760996266592994e-12,3.606922483662542e-07,3.0480771090246975e-10,6.255488115832086e-10,1.27530101167159e-09,7.76207043090891e-11,6.682141115951909e-10,4.376975793249694e-08,4.072781531077247e-08,8.052830030111208e-08,1.0596711543810805e-08,2.4759250881551995e-09,5.326838605840919e-08,1.1621112427925385e-14,1.8077140874697523e-09,1.8095625116740522e-09,2.3373323385702173e-12,2.344660816962327e-13,2.5678340479192633e-16,1.8437768701071188e-07,3.9225269174797745e-10,1.792679415495282e-07,4.234929955553923e-12,9.4133842925865e-10
9,3.817179673478292e-08,0.9983207084248447,3.529466811006588e-08,6.761851925028009e-09,0.0014488346359719348,1.5786054903738586e-06,1.3094714657003469e-08,5.935942015187092e-06,1.8617196340126928e-05,1.5409162875077735e-05,5.47285984863027e-09,2.181693613419922e-05,6.1179702989577725e-09,4.027701665103027e-08,7.80197965036618e-07,1.6458946153399387e-06,0.00010664307698222103,1.4543087216124134e-11,1.8061288791511888e-09,1.6048637418503486e-06,8.892682664665508e-09,4.5619106549985163e-08,1.1551132665831324e-11,1.608590188535873e-11,4.6267853587018084e-12,3.885679133490383e-06,3.803424759094288e-06,1.5708162791569975e-11,2.983902549447516e-10,1.4526525882877091e-10,1.552039820405162e-11,5.375026126803705e-09,2.6559436332529143e-06,1.2623662836308182e-06,4.991961127250651e-12,1.9798360381444197e-06,1.6037737513475926e-10,2.8320916472508067e-12,7.802948149947795e-11,3.4522744071402533e-07,3.1392698852572542e-12,4.203415800695929e-09,1.2889822927556524e-09,2.4497749284193818e-11,4.81238810081868e-08,4.7136122346149556e-11,8.795580536737685e-11,7.408349215275722e-10,2.5167765208062313e-07,1.497894583425806e-07,5.31198147906847e-09,1.8127469379025623e-11,7.985947550173165e-10,5.76893902469112e-08,1.936042121968228e-08,9.782921371309953e-10,1.4813634698449205e-06,5.0402591156147154e-11,8.496868099946274e-13,8.890792990096605e-10,1.7361267333101678e-07,2.4119947938456378e-11,2.7438018140537575e-08,6.057759229693446e-08,1.8822993817353e-09,4.576666270606903e-09,1.2471202803077806e-08,3.2843537183907812e-12,2.5173307978888467e-12,3.886634997458807e-08,1.9471751136914183e-10,1.7987619879228935e-09,1.067237007059448e-08,1.4818848294550016e-06,3.240027214638186e-08,1.4647441468980762e-08,1.3957089029347396e-12,1.6927275652310672e-08,1.6208776095572063e-07,3.5414286855485424e-09,8.85272064247634e-09,3.998699526572954e-14,8.85094472986251e-14,1.0505482305315332e-08,1.0943231289376151e-07,3.35356405630364e-06,2.283074117263043e-10,1.3308821441743821e-09,8.407367876668541e-10,6.294743288220183e-08,1.03968644123044e-09,1.2610495119622459e-08,3.3228488002786817e-09,3.706901248696146e-10,1.0000760581514647e-09,6.49290287321181e-08,1.9517529724982564e-11,1.541803731490599e-09,3.45863392459676e-05
12,6.96445257603224e-10,0.0007638704217511245,3.6806174885392497e-08,1.7123402183985143e-09,5.055604169968214e-08,5.99541880866317e-10,3.3636244902837103e-06,3.981592110929041e-08,2.709174796843924e-06,6.538208159085364e-06,2.5039143327995845e-11,1.8424225364743225e-06,4.510670224233954e-06,0.00015002638781159782,5.672588514711243e-07,2.822615311217583e-07,5.749455447560567e-10,2.5908708400445846e-06,1.5917495901139418e-10,0.9980017484983105,6.961768039938665e-08,7.093719919380044e-12,8.577516961990848e-09,2.13165047242925e-12,1.3662323302821639e-10,2.521301042113362e-10,2.3472079392339093e-06,2.528477774972865e-09,5.75128875522182e-13,1.682338688400034e-13,1.275679868390743e-11,6.781714732465313e-11,3.83104193858632e-08,2.9026128836796126e-09,2.4119385259127724e-11,4.3408967383803613e-10,5.44454343435277e-07,3.0238058887921263e-09,1.832709200609681e-09,1.0452643278781891e-09,9.374465794893621e-11,1.227727135509198e-05,4.794891013233383e-10,5.64806469734849e-10,1.5589980381696028e-09,1.7497017162923412e-09,1.4843324580349572e-12,0.00027226267737373637,8.216300426970934e-07,5.079620066177574e-11,2.2553609531266142e-07,7.032502904743114e-13,4.5748957941012074e-09,1.15859710223125e-09,5.241658264230035e-09,4.544829281776668e-10,1.5973007017873241e-12,6.5265193694446655e-09,2.6458553700259856e-07,3.280459122233573e-08,6.797420343226118e-08,2.477138038202399e-11,3.895214606629383e-08,1.1621529222496079e-06,3.336757039257678e-13,7.298254053453327e-09,2.8017617355637356e-10,3.3630869780828394e-09,1.4468030238385608e-10,1.5287001619409377e-11,5.002083478393713e-12,5.759994323996669e-11,2.2019213284831782e-11,3.229723044933899e-08,2.5666902574448513e-12,3.835916269028112e-10,2.0069724039985076e-10,5.325695583874125e-08,3.013454752037101e-08,2.9345642389005468e-08,3.491843968789294e-07,6.043334137363994e-11,8.544911228298694e-08,3.0038314531128705e-09,1.1166492620705181e-08,1.4728438389294632e-05,1.4605662345975233e-08,5.981412204769127e-09,7.738636589708106e-13,1.338616031592465e-07,1.6052710444771114e-09,1.6228238536132453e-08,2.780909897418093e-10,2.2701251908688468e-11,1.6365221766355715e-07,0.0007211309231670103,4.375719758940613e-09,2.763143982525773e-10,3.481682878612828e-05
13,9.415362543388699e-09,2.091663699246471e-08,4.4289598689018816e-11,1.8182395263580295e-12,6.416261653043743e-09,2.787301255882826e-11,1.5798897614432345e-08,2.143381945351618e-09,2.111690369109046e-06,6.79656249603105e-08,5.535474380751198e-10,2.409637523835669e-05,1.9898118781415087e-08,3.137706561745412e-07,0.999963055882234,6.561790318243283e-09,4.132190298859258e-06,4.745295246046704e-11,1.4445439060198198e-09,2.61993121416192e-10,7.863410363631842e-08,1.218770734752258e-12,1.013086915302947e-08,2.231511808314356e-13,4.8848326642144963e-11,6.867426816052575e-11,2.018956809603422e-07,5.304151670631723e-12,1.0220509509094031e-12,6.027549352021322e-14,2.74012923241193e-13,7.28432983959794e-13,4.5261379153007406e-11,1.8284960278996064e-09,2.1940275661504058e-14,1.66339091885909e-08,5.426306143731885e-11,5.780832148161742e-15,2.9894041655946204e-10,5.4862541004045534e-14,1.847244517517788e-14,1.7358815450315186e-10,9.268113594739285e-12,1.4419324040496003e-10,7.020628407998922e-12,6.853354433781806e-15,2.474513250184628e-12,4.735902036517096e-10,1.2092281414124596e-06,9.876000184554525e-07,1.862504693973601e-12,4.157712121764184e-13,9.026122392925997e-10,3.912230809939442e-09,1.1449307221231997e-09,1.293834443800929e-12,6.051220889319758e-12,1.5409084993658498e-12,3.5566617728983157e-13,2.8752037842543683e-10,3.748278668206494e-10,1.0284448835338477e-11,1.0730575529787805e-10,9.166292794607298e-09,2.0104444729321723e-12,2.136696057573754e-12,6.378045964106088e-11,1.1118880123686608e-13,3.40488429069691e-13,4.122975047432948e-12,1.359599312010222e-10,1.9513393657017374e-09,4.673356212182537e-12,2.770256171995217e-11,2.4558663216315644e-09,1.0272817026195096e-10,2.0702556149149103e-13,7.059542063002869e-09,9.515862545692729e-09,7.348630611269341e-09,2.493297809882617e-09,2.0022263796420465e-15,5.842306764335949e-13,4.208484323682517e-09,1.2744469084597217e-10,2.6655651308963757e-11,3.2939963185693e-11,1.5368900308461588e-13,1.3867283507732774e-11,1.2332542255128188e-08,2.166771497510272e-11,1.799653863297139e-07,7.298575146899355e-11,1.3426752090115105e-07,3.7395786631020465e-08,3.2116280835086105e-06,3.6940334908442115e-10,2.072216257062259e-09,1.6857688532221682e-09
16,1.5027697998958203e-05,9.108089442916758e-07,8.590026206600931e-06,0.9830565968639631,5.876547536237692e-07,1.8495171222465086e-07,2.0790240970285917e-05,9.053882229289517e-06,8.022003419227263e-07,9.706538495460418e-08,1.8023974665457355e-06,1.1496243325719337e-07,1.577528657313533e-05,6.670362636641764e-07,4.53529108873482e-06,2.014068747184066e-06,2.5506249686331256e-07,1.5967323632235558e-05,6.05527929144596e-06,0.0001753705490542859,1.1903971445755507e-05,2.715292111108267e-07,7.133793004762218e-07,7.1789638999591995e-09,1.0993746594035761e-05,4.573949977446213e-06,0.00013139979041062915,4.529840018567005e-06,4.68241690400261e-07,9.456348745436746e-11,7.454138397951642e-06,2.5769245473544075e-06,2.0734942230280667e-05,4.257664167509321e-07,3.3873966102657826e-06,4.436317175010599e-07,5.228656613507101e-05,1.100524886136651e-07,8.782499531973166e-07,2.666656978029485e-06,2.8067201654303312e-06,6.839070826950225e-05,4.7961886076832726e-05,0.0026472817497033316,4.220060592993206e-06,5.6968175100527875e-05,1.644127117423997e-08,1.1794860086553657e-06,5.080921862369553e-08,2.470320644177372e-06,3.765161079204197e-05,1.0123393313896326e-07,0.0011222905219414668,4.949012082976213e-07,8.521783317768988e-08,1.070304558805257e-06,6.463499379819506e-09,1.4960299943791683e-05,0.0003169675319548602,1.2776642319824696e-05,3.949582888627987e-05,1.0760387901289248e-07,5.003434426561445e-05,8.10413565875454e-06,3.418930837376788e-10,6.924705144276798e-06,1.0165329592507007e-07,2.1722788673134412e-05,4.1701537366960174e-05,2.166620962268207e-05,2.9082221208668105e-08,9.416860253410575e-07,1.771083020431801e-07,1.2700079879194551e-05,6.255721869271749e-11,7.774719576716837e-07,6.632307082534542e-06,6.203121630031965e-06,1.667771060134573e-08,4.360635497995917e-05,2.1974632808539743e-09,5.759364768428053e-05,5.581394421441772e-07,0.00020516325256585927,1.1954538588811209e-06,0.00020212907206164656,0.010951106780860797,1.6886499430788103e-06,2.90918127079695e-09,7.263083517681924e-05,5.9491197376153734e-05,4.336894748303973e-06,4.0507154864989356e-07,6.792110375834954e-08,0.00017798071959705227,5.526357352566254e-06,2.686047143511679e-05,1.4014624604484111e-05,2.952692072467305e-05
19,3.350351750231664e-06,4.1312871240539037e-07,2.332603263125585e-06,0.9995409433330733,3.2332473981458e-08,2.66567017823389e-08,1.4846930232723202e-06,4.6813643587800274e-08,2.9489868485861512e-08,1.4163664837771124e-08,5.413134012446873e-07,2.5726081190179234e-09,9.243440243975702e-06,1.4417255233495557e-08,8.232073518264676e-08,1.5127203506732493e-07,7.456284004247753e-08,6.045133068595896e-08,2.019476090426462e-07,7.346895382523641e-06,3.1207869799356217e-06,3.018265813657481e-08,8.177282907623025e-09,3.34506345472015e-09,3.3467738780121543e-07,1.0411847652587433e-06,4.382262814761851e-07,3.3557087076939826e-08,1.489091308683277e-07,1.1723027683485545e-10,7.93712083585986e-07,2.247501430870475e-06,5.6170398761462826e-06,1.1235043348408327e-08,6.282927223910817e-08,2.0673416476327455e-08,2.735207124707693e-06,2.2174390947053145e-08,5.289982744019636e-07,3.022877669163438e-06,3.2021935820547666e-09,3.938226412194687e-06,7.013417341025058e-07,1.7154266933460967e-05,4.1568797203241843e-07,3.7484475018170143e-06,4.388226222520641e-09,5.824239350703653e-08,5.412752484165313e-09,3.2970683097307634e-08,9.067591597880239e-05,6.713873443810747e-08,1.4432279829903654e-06,1.7389582968235283e-07,8.167915031418712e-09,1.4555107107748244e-07,1.0464913855914655e-08,1.0890161027030754e-07,7.416415487872079e-06,8.332834396379224e-07,4.736256415429887e-05,1.0113450707280328e-08,3.811617266562454e-07,3.738879957550526e-07,1.3278586710968089e-09,1.3401532958614206e-05,4.349173285721679e-09,1.3383695495944258e-07,1.363460559820956e-05,4.481737546345053e-06,1.067476789701866e-09,1.2403258227169877e-08,6.617501813417393e-09,4.412075330496254e-08,6.166928766386829e-12,1.9184805169197154e-08,2.5584227165970517e-06,4.4275594225783463e-07,5.026624416746815e-10,3.013516703123877e-06,4.739805184834556e-10,4.2561299608891255e-06,2.99248701563695e-08,1.319853502310174e-07,1.5666756710676122e-06,1.5505960809704575e-05,6.900566903006633e-06,2.8869827519419195e-06,1.357698935646588e-11,7.064298318916221e-07,7.138161050587947e-06,4.5827283771635176e-07,3.648572177499492e-08,9.077963806865994e-10,0.00010508242190980583,4.3758024125390934e-08,9.478179331184411e-07,1.0298380978172575e-07,5.476100997654543e-05
23,2.6126459316330183e-10,1.1074834156688717e-06,1.3653336798899682e-06,5.945236613016298e-06,9.067824591610103e-08,9.986960893911212e-05,3.728854226193384e-06,9.597285237646498e-09,1.0167428790805081e-10,2.4085240261935185e-08,3.0793013196518396e-11,3.032079050924987e-08,1.4741869533073381e-08,1.7371377898085862e-09,1.680497719128689e-09,0.0002664141254699498,8.727925900806685e-11,1.0379299063414614e-09,5.398424762370108e-07,1.9237685852906262e-07,7.046335804884295e-06,3.049193988151277e-08,6.349453646682704e-08,4.3297665433041674e-07,9.340563359216745e-07,1.0224654989483748e-07,8.780643776877176e-08,2.1938743383739e-08,0.9986772930977647,0.0008130751006317138,3.5305253401145365e-05,2.399424535697081e-10,6.471380420453482e-08,1.5691550169684547e-08,2.1820128388439e-08,3.1597990643819437e-07,2.3731588545764968e-08,5.872430650903473e-07,4.28641844383708e-09,1.267628963367069e-06,1.974132703458144e-10,1.3813812592146168e-12,2.977712477550129e-05,1.3541006951205196e-08,3.4121589177816183e-09,4.3714273546855706e-10,4.808262822454047e-11,7.574576259471062e-11,6.243786558430497e-11,3.9631730222533276e-09,2.1219982491255963e-08,7.67383209221451e-08,1.1966231542022952e-09,2.0979738110232354e-09,6.88971956425469e-08,3.9163659243389835e-05,2.4593978827509837e-07,2.5626383046429208e-08,2.1768049916599306e-11,2.8838078673272992e-09,1.4433912434999532e-07,2.869720744080628e-07,7.970888508922163e-08,2.2435086755291715e-08,3.2056853165406605e-11,1.904990094370356e-07,1.0372148822794203e-06,2.013182095391574e-08,3.823048297417005e-09,1.8850974160330094e-06,3.128100814328674e-06,8.863070935435857e-08,7.327878729090004e-08,4.4250230486770054e-07,5.296498356251586e-13,2.2199151269069054e-11,2.3821383279296587e-07,3.213565185365331e-08,4.1420136748613456e-10,7.648536472460436e-07,1.35466154997742e-06,1.2216691181295915e-07,1.0739101589622454e-10,1.3247180009504553e-12,2.836110274480124e-07,4.811603595743735e-10,1.1541219983365124e-09,2.8044672558067497e-06,5.520852068511573e-10,4.565607140428926e-09,2.7820746238151042e-08,9.348936442314362e-09,4.872129268039523e-09,1.9680404708935585e-09,3.1599623464357736e-11,2.476587708134368e-11,3.615092971942972e-08,2.4742049025191974e-10,1.4708606557595496e-06
24,2.9973740277784445e-07,1.3300297127314005e-08,1.2278139093883136e-09,1.3481457646048724e-10,1.139634681970402e-09,4.1312496916192746e-07,7.048145091486768e-10,1.2130563308668838e-11,1.183136196980005e-06,1.3335806327970806e-09,4.126843193460422e-09,2.4382809891864663e-13,9.310657522337815e-12,2.414882412363441e-11,1.4260799374158883e-11,2.249092930364222e-09,5.039581685582199e-08,5.13483236171053e-11,2.4671747512034373e-12,1.7874304157447175e-09,2.383602257065878e-08,6.45081131974828e-11,1.2662388115834758e-14,1.0425237775433857e-11,3.9368750171743404e-14,1.1213706245857713e-10,1.2819587098382776e-07,3.384747226817855e-10,1.993862373354336e-14,2.9427047562677227e-13,4.142158717465159e-15,2.915747994262187e-07,6.979379827061292e-08,8.775432471853283e-09,5.521172047942662e-10,2.3921835732886332e-11,5.107140471419635e-09,5.6519648198000284e-11,8.88037458144869e-10,8.797395746255183e-07,4.0986975817618155e-13,3.6447339871635247e-10,6.490082057941867e-10,1.188849396941364e-11,4.755611167717294e-10,4.115948458423987e-09,1.0639333512723931e-13,4.506256213592792e-12,6.534842271405273e-15,1.0043020910972312e-10,3.467050546573082e-11,1.910046257184958e-08,1.1243728310880078e-13,9.604292962553925e-15,2.1911552870908377e-10,2.4449089117659063e-10,6.355631308370395e-13,2.1277772617730735e-12,1.5629626602552779e-09,2.572730294050974e-07,1.8544741268302035e-09,1.9420964084051893e-11,6.413843512607996e-12,1.0121214489268051e-10,6.642004861925943e-12,7.203732453577571e-11,2.116655728503716e-11,6.309042378911507e-15,6.454258099828386e-11,1.43177971188044e-07,1.1524880781270064e-12,1.755061435714359e-13,3.4919523613426734e-08,6.632012802642769e-14,1.3100641657830742e-10,3.529567732569571e-11,6.397433471124405e-12,2.7214433507351426e-09,1.3434676646074323e-08,1.3348012576870791e-09,2.290334007164995e-11,7.005369172110475e-13,1.8268472459699204e-11,3.9710022705893985e-09,0.9999961277513169,1.0731121548897855e-11,3.2151540948732896e-14,1.374478451971868e-11,1.0687409282244006e-12,5.689950444186636e-10,1.9114212615483362e-11,8.960310052964196e-12,1.6255927445276133e-11,6.080175774568736e-14,3.9152832441623e-09,1.508788816825252e-11,7.095041848440621e-14,1.0953223171969217e-11,5.300113829391959e-12
28,4.2508167777445235e-06,1.7085918785715357e-06,1.6608635599370406e-08,5.5129273857667077e-08,8.288560716969054e-08,8.646274563180257e-09,4.8375809480942e-07,6.390560237892431e-06,0.9999657915020509,4.2523409774481026e-08,7.011530339007544e-07,7.231833015454796e-07,2.2808400609144304e-06,3.2827850131218804e-08,1.3173648753436805e-06,1.9982812431532705e-07,4.51431697853053e-07,1.4391039567147192e-07,5.926104564821881e-09,4.754079143003375e-07,5.0143604672936245e-08,3.672494954520322e-11,1.501047750272935e-10,4.493797535700763e-12,2.6549944608563722e-11,4.563912227655562e-10,4.5619127446586273e-08,4.726170204164869e-11,1.1709999798660584e-11,2.2194256951159452e-13,1.0141118823504243e-11,7.624183393357569e-10,3.0834834256407005e-07,8.691108051890567e-07,2.9275536917514994e-11,4.036111881171843e-08,3.178174960365377e-10,1.2731290843707826e-11,5.7129937124160647e-11,1.3106704847224418e-09,3.350901228753108e-12,1.1811264071676468e-08,7.453973083647105e-10,4.011829733920066e-11,2.7615638699878563e-08,4.216958944449539e-10,5.50086488302056e-11,7.558350865835445e-10,4.72920545205561e-08,2.1577943262038094e-08,2.6942997870918314e-10,1.773740146434744e-12,3.2089137010601227e-09,9.741785112279612e-09,1.9522344489023333e-08,6.531814689426375e-09,1.9811354794535912e-10,1.8857914382445885e-11,1.9421068815518586e-10,4.412258551887807e-09,1.381959946263578e-08,5.384818714533292e-11,2.822440614339532e-09,1.840296883473127e-09,3.732360218871279e-10,7.2176578746639374e-09,2.0845029151328688e-10,2.8322977550198347e-12,6.138008368963777e-10,8.334804502914905e-09,8.064234664754868e-11,1.7282244771574734e-10,3.9209533533972853e-10,2.3393462564713233e-09,2.693523865382617e-09,2.7806117028789398e-09,6.0333110808184895e-12,1.392743667788472e-09,5.5113359993896003e-08,2.1213439894830082e-09,3.6153559110385046e-09,8.471996226351132e-12,1.469280297859908e-10,6.552524808017965e-08,8.409330341897038e-07,2.9486699730606573e-08,2.7014119003687582e-08,1.8052277273071407e-10,8.353239085072281e-12,3.6339109274483643e-07,4.493562839801499e-09,2.653650769900092e-07,7.370885802943393e-09,1.0084659282220745e-07,1.1405544470865729e-05,1.2794734453763622e-07,3.0943305436414874e-13,1.0599834419023289e-10,2.1506392543068712e-08
